"TimeFrame_Name","TimeFrame_Value","Depth","n","ndays","mean","median","min","max","range","sd","var","cv","q01","q05","q10","q25","q50","q75","q90","q95","q99","n_below_2"
"Month","03",5,62,62,4.3810752688172,4.387375,4.168,4.53525,0.367249999999999,0.0875241779107988,0.00766048171896115,0.0199777845712357,4.16993166666667,4.1950375,4.216425,4.36566666666667,4.387375,4.45047916666667,4.46245,4.47864583333333,4.51410333333333,0
"Month","03",6,62,62,4.40384072580645,4.42583333333333,4.179375,4.5255,0.346125,0.0751373762813579,0.00564562531444636,0.0170617833295046,4.21539041666667,4.27107916666667,4.289875,4.35189583333333,4.42583333333333,4.45941666666667,4.47783333333333,4.49245833333333,4.513605,0
"Month","03",7,62,62,4.4261122311828,4.506,4.10433333333333,4.54283333333333,0.438499999999999,0.128803290337694,0.0165902876018163,0.0291007736835616,4.11752458333333,4.17691666666667,4.21887916666667,4.32075,4.506,4.52414583333333,4.532,4.5373625,4.5421725,0
"Month","03",8,62,62,4.60103629032258,4.62733333333333,4.37383333333333,4.688,0.314166666666666,0.0721642887279824,0.0052076845676156,0.0156843554743888,4.38771083333333,4.48953333333333,4.50719166666667,4.56883333333333,4.62733333333333,4.647375,4.67055833333333,4.67700416666667,4.68667833333333,0
"Month","03",9,62,62,4.52707258064516,4.532,4.389,4.662,0.273,0.0663353232461483,0.00440037511017098,0.0146530284338173,4.408825,4.428,4.43406666666667,4.4661875,4.532,4.584,4.607725,4.61530833333333,4.6362275,0
"Month","03",10,62,62,4.61920833333333,4.61866666666667,4.40091666666667,4.78441666666667,0.3835,0.102441341950056,0.0104942285405282,0.0221772508528819,4.40818583333333,4.434825,4.46494166666667,4.55258333333333,4.61866666666667,4.69558333333333,4.756575,4.77661666666667,4.783095,0
"Month","04",1,60,60,3.55893194444444,4.08122916666667,1.15983333333333,6.79745833333333,5.637625,1.57466167542901,2.47955939206489,0.442453438281416,1.20076458333333,1.40365,1.57504166666667,1.78390625,4.08122916666667,4.58215625,5.06584166666667,6.1146875,6.72926416666667,19
"Month","04",2,60,60,4.18788888888889,3.95608333333333,2.971625,6.72775,3.756125,0.779953808368772,0.608327943188952,0.186240329928072,3.15140291666667,3.31592083333333,3.4742375,3.68625,3.95608333333333,4.52053125,4.85727083333333,5.98454791666667,6.60099833333333,0
"Month","04",3,60,60,4.51690069444444,4.34404166666667,3.86654166666667,6.824875,2.95833333333333,0.587131376826491,0.344723253654171,0.129985451650206,3.912365,4.00148958333333,4.0876625,4.30991666666667,4.34404166666667,4.51629166666667,4.90265833333333,6.0364125,6.6695575,0
"Month","04",4,60,60,4.51726875,4.393875,3.871,6.82066666666667,2.94966666666667,0.56643175565763,0.320844933817385,0.125392529646953,3.91741333333333,4.00091458333333,4.08820833333333,4.3459375,4.393875,4.43260416666667,4.88608333333333,5.95455208333333,6.64713291666667,0
"Month","04",5,60,60,4.54040416666667,4.45345833333333,3.881875,6.83441666666667,2.95254166666667,0.547360444741625,0.299603456467749,0.120553242541725,3.92698541666667,4.01394375,4.09175,4.3768125,4.45345833333333,4.4791875,4.83045,5.91101041666667,6.64018375,0
"Month","04",6,60,60,4.49242430555556,4.38304166666667,3.87641666666667,6.82908333333333,2.95266666666667,0.541146738490005,0.29283979257837,0.120457619691176,3.92093708333333,4.0115375,4.08544166666667,4.29827083333333,4.38304166666667,4.46754166666667,4.70100833333333,5.7923375,6.61742083333333,0
"Month","04",7,60,60,4.43414722222222,4.332125,3.80004166666667,6.75095833333333,2.95091666666667,0.522991371499173,0.273519974662586,0.117946325480161,3.84773333333333,3.94594375,4.01173333333333,4.23597916666667,4.332125,4.44154166666667,4.578675,5.61745208333333,6.52039125,0
"Month","04",8,60,60,4.59061944444444,4.54120833333333,3.88733333333333,6.83333333333333,2.946,0.492816125376817,0.242867733431419,0.107352859748203,3.9331075,4.02866458333333,4.09410833333333,4.47945833333333,4.54120833333333,4.60214583333333,4.65642916666667,5.63122083333333,6.57845333333333,0
"Month","04",9,60,60,4.53166180555556,4.53416666666667,3.77695833333333,6.72045833333333,2.9435,0.471904743615017,0.222694087046355,0.104135031223312,3.82152791666667,3.91205833333333,3.9807875,4.429625,4.53416666666667,4.58291666666667,4.61649583333333,5.32326041666667,6.42206583333333,0
"Month","04",10,60,60,4.65232152777778,4.69720833333333,3.85570833333333,6.7975,2.94179166666667,0.457787587841934,0.209569475582137,0.0983998171898924,3.90278541666667,3.99175,4.06285833333333,4.50166666666667,4.69720833333333,4.75489583333333,4.84801666666667,5.16553541666667,6.39588208333333,0
"Month","05",1,62,62,11.2155221774194,9.30527083333333,5.07695833333333,22.2775833333333,17.200625,4.21818440300017,17.7930796577139,0.37610236387324,5.215225,5.87578125,7.62064166666667,8.55923958333333,9.30527083333333,13.6003645833333,17.3413458333333,21.0501020833333,21.81034875,0
"Month","05",2,62,62,10.7942701612903,9.18422916666667,4.924125,20.6365,15.712375,3.82741167526916,14.6490801319867,0.354578088011431,5.0941625,5.65469166666667,7.1194625,8.31238541666667,9.18422916666667,13.41296875,16.4711125,18.2217541666667,20.44061375,0
"Month","05",3,62,62,10.4599220430108,9.23420833333333,4.96191666666667,18.86175,13.8998333333333,3.38980683698159,11.4907903920471,0.324075726668215,5.14946625,5.64968333333333,6.9003875,8.31617708333333,9.23420833333333,12.1132604166667,15.8182333333333,16.2855916666667,18.8454325,0
"Month","05",4,62,62,9.85776948924731,9.19516666666667,4.87470833333333,16.3303333333333,11.455625,2.67612280289758,7.1616332561884,0.271473461193899,5.097155,5.57000833333333,6.51061666666667,8.21817708333333,9.19516666666667,11.66628125,13.7633416666667,14.0080020833333,15.2584870833333,0
"Month","05",5,62,62,9.26498252688172,9.1803125,4.83708333333333,13.572375,8.73529166666667,2.10506715644073,4.43130773312548,0.227206813432516,5.05368416666667,5.52727083333333,6.27636666666667,8.13752083333333,9.1803125,10.4455729166667,12.0485375,13.1314208333333,13.3620775,0
"Month","05",6,62,62,8.97313642473118,9.12158333333333,4.80258333333333,12.720375,7.91779166666667,1.93333555001182,3.73778634893951,0.215458169641028,4.98182166666667,5.47104791666667,6.124175,8.09901041666667,9.12158333333333,9.65615625,11.9707083333333,12.3051583333333,12.7172995833333,0
"Month","05",7,62,62,8.76244690860215,8.96729166666667,4.701,12.225625,7.524625,1.86979063936939,3.49611703507339,0.213386815220964,4.81682375,5.36891666666667,5.94719166666667,7.98928125,8.96729166666667,9.41340625,11.8093791666667,11.89584375,12.1668870833333,0
"Month","05",8,62,62,8.75432594086021,8.98752083333333,4.76370833333333,12.0799583333333,7.31625,1.83511854720115,3.36766008228166,0.209624197179575,4.82478458333333,5.43188333333333,5.955725,8.02661458333333,8.98752083333333,9.33622916666667,11.7999375,11.8498895833333,11.9616945833333,0
"Month","05",9,62,62,8.56051747311828,8.81429166666667,4.63383333333333,11.92375,7.28991666666667,1.80791219082355,3.26854648972839,0.211191928116583,4.67533875,5.27577916666667,5.75122916666667,7.88848958333333,8.81429166666667,9.12644791666667,11.5268708333333,11.5655625,11.7680729166667,0
"Month","05",10,62,62,8.56119422043011,8.80391666666667,4.69883333333333,11.9979166666667,7.29908333333333,1.77793100627594,3.16103866307739,0.207673247504788,4.73174791666667,5.31270625,5.74835416666667,7.94994791666667,8.80391666666667,9.13078125,11.4642458333333,11.52934375,11.8143575,0
"Month","06",1,60,60,19.6375291666667,19.0586458333333,14.1269166666667,26.6210416666667,12.494125,3.11317087307515,9.69183288496351,0.158531699515413,14.16271,14.354825,16.2483833333333,17.6623333333333,19.0586458333333,22.2351145833333,23.3073708333333,25.8141354166667,26.4049295833333,0
"Month","06",2,60,60,18.9709451388889,18.5921875,14.023,25.1502083333333,11.1272083333333,2.62856423768818,6.90934995165323,0.138557368567781,14.0576379166667,14.21158125,15.9006541666667,17.47359375,18.5921875,20.3769791666667,22.6739708333333,23.1017229166667,24.4072508333333,0
"Month","06",3,60,60,18.3073479166667,18.1557916666667,14.0789583333333,22.8482916666667,8.76933333333333,2.17290249693157,4.72150526117143,0.118690184226706,14.0977891666667,14.1470583333333,15.7222,17.48534375,18.1557916666667,19.4614166666667,22.227725,22.4764833333333,22.7779833333333,0
"Month","06",4,60,60,17.1567791666667,17.3857708333333,13.977875,19.505875,5.528,1.50366754036052,2.26101607193385,0.0876427635836185,13.99682875,14.0717,15.0576041666667,16.4514479166667,17.3857708333333,18.03746875,19.3367708333333,19.3644833333333,19.4765716666667,0
"Month","06",5,60,60,15.6516895833333,16.4365625,11.6542083333333,18.6842083333333,7.03,2.02923408810116,4.11779098431173,0.129649522966644,11.6912308333333,11.7660916666667,12.3161625,14.14034375,16.4365625,16.81571875,18.42865,18.58300625,18.66972875,0
"Month","06",6,60,60,13.528125,13.6346666666667,10.0421666666667,16.325875,6.28370833333333,1.77257138408474,3.14200931167608,0.131028607740152,10.0669958333333,10.08923125,10.37285,13.1595,13.6346666666667,14.6625208333333,15.930875,16.2490458333333,16.3100925,0
"Month","06",7,60,60,11.9418736111111,12.0038958333333,9.46583333333333,14.5569166666667,5.09108333333333,1.79494883973733,3.2218413372744,0.150307137572387,9.47748583333333,9.49823541666667,9.6221125,10.108,12.0038958333333,13.5064895833333,14.246325,14.3462875,14.4426779166667,0
"Month","06",8,60,60,11.3952465277778,11.3329375,9.33229166666667,13.7879583333333,4.45566666666667,1.69949059110709,2.88826826926152,0.149140309247746,9.33654458333333,9.36822291666667,9.41585416666667,9.62565625,11.3329375,13.11971875,13.3614208333333,13.4629770833333,13.6908541666667,0
"Month","06",9,60,60,11.0019145833333,10.9286041666667,9.06433333333333,13.3090416666667,4.24470833333333,1.62028992443689,2.6253394392317,0.147273450649348,9.07891125,9.11615208333333,9.20094583333333,9.35283333333333,10.9286041666667,12.764125,12.97785,13.0449208333333,13.2194354166667,0
"Month","06",10,60,60,10.9380201388889,10.8609583333333,9.072625,13.2009583333333,4.12833333333333,1.58303218795555,2.50599090810332,0.144727488874084,9.07815625,9.11341875,9.20133333333333,9.34977083333333,10.8609583333333,12.72878125,12.9097833333333,12.9598708333333,13.13618125,0
