"Date","Depth","temp_F","DO_conc"
2018-07-02,3,71.40875,8.33375
2018-07-02,4,67.30875,7.0825
2018-07-02,5,63.20875,5.83125
2018-07-02,6,59.10875,4.58
2018-07-02,7,56.1716666666667,3.88
2018-07-02,8,53.2345833333333,3.18
2018-07-02,9,50.2975,2.48
2018-07-03,3,71.1179166666667,8.19375
2018-07-03,4,67.5811111111111,7.03347222222222
2018-07-03,5,64.0443055555556,5.87319444444444
2018-07-03,6,60.5075,4.71291666666667
2018-07-03,7,56.9766666666667,3.85083333333333
2018-07-03,8,53.4458333333333,2.98875
2018-07-03,9,49.915,2.12666666666667
2018-07-04,3,71.42875,8.17541666666667
2018-07-04,4,67.6915277777778,6.96555555555556
2018-07-04,5,63.9543055555556,5.75569444444444
2018-07-04,6,60.2170833333333,4.54583333333333
2018-07-04,7,56.855,3.75277777777778
2018-07-04,8,53.4929166666667,2.95972222222222
2018-07-04,9,50.1308333333333,2.16666666666667
2018-07-05,3,72.6841666666667,8.58833333333333
2018-07-05,4,68.3705555555556,7.17388888888889
2018-07-05,5,64.0569444444444,5.75944444444444
2018-07-05,6,59.7433333333333,4.345
2018-07-05,7,56.6368055555556,3.555
2018-07-05,8,53.5302777777778,2.765
2018-07-05,9,50.42375,1.975
2018-07-06,3,72.40875,8.65708333333333
2018-07-06,4,68.2343055555556,7.19180555555556
2018-07-06,5,64.0598611111111,5.72652777777778
2018-07-06,6,59.8854166666667,4.26125
2018-07-06,7,56.6594444444444,3.43541666666667
2018-07-06,8,53.4334722222222,2.60958333333333
2018-07-06,9,50.2075,1.78375
2018-07-07,3,72.9558333333333,8.55291666666667
2018-07-07,4,69.3890277777778,7.24486111111111
2018-07-07,5,65.8222222222222,5.93680555555556
2018-07-07,6,62.2554166666667,4.62875
2018-07-07,7,58.1886111111111,3.63569444444444
2018-07-07,8,54.1218055555556,2.64263888888889
2018-07-07,9,50.055,1.64958333333333
2018-07-08,3,72.9025,8.24333333333333
2018-07-08,4,69.5205555555556,7.06541666666667
2018-07-08,5,66.1386111111111,5.8875
2018-07-08,6,62.7566666666667,4.70958333333333
2018-07-08,7,58.8723611111111,3.75611111111111
2018-07-08,8,54.9880555555556,2.80263888888889
2018-07-08,9,51.10375,1.84916666666667
2018-07-09,3,73.6883333333333,8.32791666666667
2018-07-09,4,70.0231944444444,7.05180555555556
2018-07-09,5,66.3580555555556,5.77569444444445
2018-07-09,6,62.6929166666667,4.49958333333333
2018-07-09,7,58.5945833333333,3.48055555555556
2018-07-09,8,54.49625,2.46152777777778
2018-07-09,9,50.3979166666667,1.4425
2018-07-10,3,73.8291666666667,8.39208333333333
2018-07-10,4,70.0409722222222,7.00708333333333
2018-07-10,5,66.2527777777778,5.62208333333333
2018-07-10,6,62.4645833333333,4.23708333333333
2018-07-10,7,58.64875,3.34
2018-07-10,8,54.8329166666667,2.44291666666667
2018-07-10,9,51.0170833333333,1.54583333333333
2018-07-11,3,72.365,7.8625
2018-07-11,4,69.2784722222222,6.65208333333333
2018-07-11,5,66.1919444444444,5.44166666666667
2018-07-11,6,63.1054166666667,4.23125
2018-07-11,7,58.9920833333333,3.27430555555556
2018-07-11,8,54.87875,2.31736111111111
2018-07-11,9,50.7654166666667,1.36041666666667
2018-07-12,3,73.1304166666667,8.17625
2018-07-12,4,70.22125,6.96902777777778
2018-07-12,5,67.3120833333333,5.76180555555556
2018-07-12,6,64.4029166666667,4.55458333333333
2018-07-12,7,60.0627777777778,3.49416666666667
2018-07-12,8,55.7226388888889,2.43375
2018-07-12,9,51.3825,1.37333333333333
2018-07-13,3,73.43125,8.09666666666667
2018-07-13,4,70.6280555555556,6.90680555555556
2018-07-13,5,67.8248611111111,5.71694444444445
2018-07-13,6,65.0216666666667,4.52708333333333
2018-07-13,7,60.50875,3.39263888888889
2018-07-13,8,55.9958333333333,2.25819444444444
2018-07-13,9,51.4829166666667,1.12375
2018-07-14,3,73.0533333333333,7.75416666666667
2018-07-14,4,70.1997222222222,6.53527777777778
2018-07-14,5,67.3461111111111,5.31638888888889
2018-07-14,6,64.4925,4.0975
2018-07-14,7,60.1029166666667,3.08444444444444
2018-07-14,8,55.7133333333333,2.07138888888889
2018-07-14,9,51.32375,1.05833333333333
2018-07-15,3,74.2020833333333,7.84208333333333
2018-07-15,4,71.0395833333333,6.53277777777778
2018-07-15,5,67.8770833333333,5.22347222222222
2018-07-15,6,64.7145833333333,3.91416666666667
2018-07-15,7,60.2315277777778,2.94763888888889
2018-07-15,8,55.7484722222222,1.98111111111111
2018-07-15,9,51.2654166666667,1.01458333333333
2018-07-16,3,73.6191666666667,7.66083333333333
2018-07-16,4,71.4109722222222,6.71472222222222
2018-07-16,5,69.2027777777778,5.76861111111111
2018-07-16,6,66.9945833333333,4.8225
2018-07-16,7,61.8488888888889,3.54708333333333
2018-07-16,8,56.7031944444444,2.27166666666667
2018-07-16,9,51.5575,0.99625
2018-07-17,3,72.3508333333333,7.18458333333333
2018-07-17,4,70.1022222222222,6.07444444444444
2018-07-17,5,67.8536111111111,4.96430555555556
2018-07-17,6,65.605,3.85416666666667
2018-07-17,7,60.8823611111111,2.8575
2018-07-17,8,56.1597222222222,1.86083333333333
2018-07-17,9,51.4370833333333,0.864166666666667
2018-07-18,3,72.9166666666667,7.19208333333333
2018-07-18,4,70.3045833333333,5.96736111111111
2018-07-18,5,67.6925,4.74263888888889
2018-07-18,6,65.0804166666667,3.51791666666667
2018-07-18,7,60.6304166666667,2.63166666666667
2018-07-18,8,56.1804166666667,1.74541666666667
