"Date","Depth","Measurement"
2017-01-25,25,2.21128125
2017-01-25,26,2.26984375
2017-01-25,27,2.38584375
2017-01-25,28,2.55928125
2017-01-26,2,0.951375
2017-01-26,3,1.106875
2017-01-26,4,1.1310625
2017-01-26,5,1.171625
2017-01-26,6,1.2233125
2017-01-26,7,1.3024375
2017-01-26,8,1.383375
2017-01-26,9,1.453625
2017-01-26,10,1.4951875
2017-01-26,11,1.53175
2017-01-26,12,1.629
2017-01-26,13,1.72821875
2017-01-26,14,1.77940625
2017-01-26,15,1.8095
2017-01-26,16,1.8185
2017-01-26,17,1.84578125
2017-01-26,18,1.89134375
2017-01-26,19,1.927625
2017-01-26,20,1.954625
2017-01-26,21,1.9445
2017-01-26,22,1.89725
2017-01-26,23,1.9549375
2017-01-26,24,2.1175625
2017-01-26,25,2.22815625
2017-01-26,26,2.28671875
2017-01-26,27,2.401875
2017-01-26,28,2.573625
2017-01-27,2,0.962666666666667
2017-01-27,3,1.1215
2017-01-27,4,1.1479375
2017-01-27,5,1.18702083333333
2017-01-27,6,1.23139583333333
2017-01-27,7,1.3058125
2017-01-27,8,1.38510416666667
2017-01-27,9,1.46210416666667
2017-01-27,10,1.5120625
2017-01-27,11,1.544125
2017-01-27,12,1.636875
2017-01-27,13,1.73553125
2017-01-27,14,1.78334375
2017-01-27,15,1.81146875
2017-01-27,16,1.81990625
2017-01-27,17,1.8494375
2017-01-27,18,1.9000625
2017-01-27,19,1.9405625
2017-01-27,20,1.9709375
2017-01-27,21,1.95884375
2017-01-27,22,1.90428125
2017-01-27,23,1.9594375
2017-01-27,24,2.1243125
2017-01-27,25,2.2340625
2017-01-27,26,2.2886875
2017-01-27,27,2.40408333333333
2017-01-27,28,2.58025
2017-01-28,2,0.963291666666667
2017-01-28,3,1.126
2017-01-28,4,1.153
2017-01-28,5,1.19283333333333
2017-01-28,6,1.24564583333333
2017-01-28,7,1.3148125
2017-01-28,8,1.38683333333333
2017-01-28,9,1.46664583333333
2017-01-28,10,1.5188125
2017-01-28,11,1.54975
2017-01-28,12,1.643625
2017-01-28,13,1.74734375
2017-01-28,14,1.79853125
2017-01-28,15,1.82496875
2017-01-28,16,1.82665625
2017-01-28,17,1.8550625
2017-01-28,18,1.9101875
2017-01-28,19,1.95153125
2017-01-28,20,1.97909375
2017-01-28,21,1.9664375
2017-01-28,22,1.9135625
2017-01-28,23,1.96815625
2017-01-28,24,2.13021875
2017-01-28,25,2.23771875
2017-01-28,26,2.29065625
2017-01-28,27,2.40898958333333
2017-01-28,28,2.59271875
2017-01-29,2,0.965
2017-01-29,3,1.126
2017-01-29,4,1.153
2017-01-29,5,1.19341666666667
2017-01-29,6,1.24566666666667
2017-01-29,7,1.3148125
2017-01-29,8,1.39789583333333
2017-01-29,9,1.48052083333333
2017-01-29,10,1.534
2017-01-29,11,1.57
2017-01-29,12,1.65375
2017-01-29,13,1.75184375
2017-01-29,14,1.80528125
2017-01-29,15,1.832
2017-01-29,16,1.832
2017-01-29,17,1.85871875
2017-01-29,18,1.91215625
2017-01-29,19,1.95265625
2017-01-29,20,1.98021875
2017-01-29,21,1.97403125
2017-01-29,22,1.93409375
2017-01-29,23,1.99178125
2017-01-29,24,2.14709375
2017-01-29,25,2.248125
2017-01-29,26,2.294875
2017-01-29,27,2.410375
2017-01-29,28,2.594625
2017-01-30,2,0.960395833333333
2017-01-30,3,1.126
2017-01-30,4,1.15358333333333
2017-01-30,5,1.19627083333333
2017-01-30,6,1.2501875
2017-01-30,7,1.3204375
2017-01-30,8,1.40354166666667
2017-01-30,9,1.48504166666667
2017-01-30,10,1.5368125
2017-01-30,11,1.5784375
2017-01-30,12,1.6695
2017-01-30,13,1.76421875
2017-01-30,14,1.81090625
2017-01-30,15,1.8336875
2017-01-30,16,1.8325625
2017-01-30,17,1.8584375
2017-01-30,18,1.9113125
2017-01-30,19,1.9518125
2017-01-30,20,1.9799375
2017-01-30,21,1.97403125
2017-01-30,22,1.93409375
2017-01-30,23,1.99594791666667
2017-01-30,24,2.15959375
2017-01-30,25,2.2668125
2017-01-30,26,2.31760416666667
2017-01-30,27,2.428375
2017-01-30,28,2.599125
2017-01-31,2,0.9683125
2017-01-31,3,1.1310625
2017-01-31,4,1.15416666666667
2017-01-31,5,1.19685416666667
2017-01-31,6,1.2501875
2017-01-31,7,1.3249375
2017-01-31,8,1.4069375
2017-01-31,9,1.4884375
2017-01-31,10,1.5390625
2017-01-31,11,1.5835
2017-01-31,12,1.683
2017-01-31,13,1.77575
2017-01-31,14,1.82075
2017-01-31,15,1.8404375
2017-01-31,16,1.8348125
2017-01-31,17,1.859
2017-01-31,18,1.913
2017-01-31,19,1.95828125
2017-01-31,20,1.99484375
2017-01-31,21,1.99371875
2017-01-31,22,1.95490625
2017-01-31,23,2.017125
2017-01-31,24,2.180375
2017-01-31,25,2.2828125
2017-01-31,26,2.3244375
2017-01-31,27,2.4314375
2017-01-31,28,2.6038125
2017-02-01,2,0.95925
2017-02-01,3,1.1305
2017-02-01,4,1.1564375
2017-02-01,5,1.2030625
2017-02-01,6,1.25697916666667
2017-02-01,7,1.33566666666667
2017-02-01,8,1.421
2017-02-01,9,1.4985625
2017-02-01,10,1.5491875
2017-02-01,11,1.589125
2017-02-01,12,1.68525
2017-02-01,13,1.779125
2017-02-01,14,1.826375
2017-02-01,15,1.8455
2017-02-01,16,1.8365
2017-02-01,17,1.859
2017-02-01,18,1.913
2017-02-01,19,1.96025
2017-02-01,20,2.00075
2017-02-01,21,2.00215625
2017-02-01,22,1.96446875
2017-02-01,23,2.025
2017-02-01,24,2.18375
2017-02-01,25,2.2884375
2017-02-01,26,2.3390625
2017-02-01,27,2.44634375
2017-02-01,28,2.61028125
2017-02-02,2,0.963145833333333
2017-02-02,3,1.147375
2017-02-02,4,1.17135416666667
2017-02-02,5,1.21460416666667
2017-02-02,6,1.26325
2017-02-02,7,1.347
2017-02-02,8,1.43675
2017-02-02,9,1.5086875
2017-02-02,10,1.561
2017-02-02,11,1.59870833333333
2017-02-02,12,1.68752083333333
2017-02-02,13,1.78278125
2017-02-02,14,1.83059375
2017-02-02,15,1.848875
2017-02-02,16,1.837625
2017-02-02,17,1.85984375
2017-02-02,18,1.91553125
2017-02-02,19,1.96332291666667
2017-02-02,20,2.00321875
2017-02-02,21,2.00659375
2017-02-02,22,1.97344791666667
2017-02-02,23,2.03709375
2017-02-02,24,2.19753125
2017-02-02,25,2.30053125
2017-02-02,26,2.34609375
2017-02-02,27,2.45310416666667
2017-02-02,28,2.6215625
2017-02-03,2,0.9568125
2017-02-03,3,1.153
2017-02-03,4,1.1805
2017-02-03,5,1.2215
2017-02-03,6,1.276
2017-02-03,7,1.3575
2017-02-03,8,1.439
2017-02-03,9,1.51825
2017-02-03,10,1.5728125
2017-02-03,11,1.6073125
2017-02-03,12,1.7000625
2017-02-03,13,1.79571875
2017-02-03,14,1.83790625
2017-02-03,15,1.8528125
2017-02-03,16,1.8404375
2017-02-03,17,1.862375
2017-02-03,18,1.918625
2017-02-03,19,1.96639583333333
2017-02-03,20,2.0056875
2017-02-03,21,2.00878125
2017-02-03,22,1.97567708333333
2017-02-03,23,2.04075
2017-02-03,24,2.204
2017-02-03,25,2.30698958333333
2017-02-03,26,2.34971875
2017-02-03,27,2.45840625
2017-02-03,28,2.63305208333333
2017-02-04,2,0.952166666666667
2017-02-04,3,1.1535625
2017-02-04,4,1.18275
2017-02-04,5,1.22825
2017-02-04,6,1.285
2017-02-04,7,1.3614375
2017-02-04,8,1.4395625
2017-02-04,9,1.51825
2017-02-04,10,1.5773125
2017-02-04,11,1.61879166666667
2017-02-04,12,1.70760416666667
2017-02-04,13,1.797125
2017-02-04,14,1.837625
2017-02-04,15,1.8561875
2017-02-04,16,1.8528125
2017-02-04,17,1.87953125
2017-02-04,18,1.93634375
2017-02-04,19,1.9820625
2017-02-04,20,2.0166875
2017-02-04,21,2.015
2017-02-04,22,1.977
2017-02-04,23,2.04075
2017-02-04,24,2.20625
2017-02-04,25,2.31520833333333
2017-02-04,26,2.367625
2017-02-04,27,2.47996875
2017-02-04,28,2.65223958333333
2017-02-05,2,0.957854166666667
2017-02-05,3,1.156375
2017-02-05,4,1.181625
2017-02-05,5,1.23275
2017-02-05,6,1.2979375
2017-02-05,7,1.369875
2017-02-05,8,1.4474375
2017-02-05,9,1.5278125
2017-02-05,10,1.5874375
2017-02-05,11,1.62897916666667
2017-02-05,12,1.71216666666667
2017-02-05,13,1.80134375
2017-02-05,14,1.84353125
2017-02-05,15,1.864625
2017-02-05,16,1.864625
2017-02-05,17,1.89078125
2017-02-05,18,1.94309375
2017-02-05,19,1.987875
2017-02-05,20,2.025125
2017-02-05,21,2.0200625
2017-02-05,22,1.9726875
2017-02-05,23,2.034
2017-02-05,24,2.204
2017-02-05,25,2.31575
2017-02-05,26,2.36925
2017-02-05,27,2.48327083333333
2017-02-05,28,2.6578125
2017-02-06,2,0.950895833333333
2017-02-06,3,1.16425
2017-02-06,4,1.19625
2017-02-06,5,1.244
2017-02-06,6,1.303
2017-02-06,7,1.381125
2017-02-06,8,1.462625
2017-02-06,9,1.534
2017-02-06,10,1.588
2017-02-06,11,1.6374375
2017-02-06,12,1.729625
2017-02-06,13,1.8201875
2017-02-06,14,1.8618125
2017-02-06,15,1.88346875
2017-02-06,16,1.88515625
2017-02-06,17,1.91271875
2017-02-06,18,1.96615625
2017-02-06,19,2.00640625
2017-02-06,20,2.03346875
2017-02-06,21,2.0196875
2017-02-06,22,1.9650625
2017-02-06,23,2.02528125
2017-02-06,24,2.20034375
2017-02-06,25,2.31490625
2017-02-06,26,2.36896875
2017-02-06,27,2.4895
2017-02-06,28,2.6765
2017-02-07,2,0.948625
2017-02-07,3,1.172125
2017-02-07,4,1.2075
2017-02-07,5,1.2485
2017-02-07,6,1.303
2017-02-07,7,1.383375
2017-02-07,8,1.464875
2017-02-07,9,1.5458125
2017-02-07,10,1.5998125
2017-02-07,11,1.6425
2017-02-07,12,1.7375
2017-02-07,13,1.82525
2017-02-07,14,1.86575
2017-02-07,15,1.886
2017-02-07,16,1.886
2017-02-07,17,1.913
2017-02-07,18,1.967
2017-02-07,19,2.00725
2017-02-07,20,2.03375
2017-02-07,21,2.0185625
2017-02-07,22,1.9616875
2017-02-07,23,2.0221875
2017-02-07,24,2.2000625
2017-02-07,25,2.31996875
2017-02-07,26,2.38190625
2017-02-07,27,2.50189583333333
2017-02-07,28,2.6799375
2017-02-08,2,0.946291666666667
2017-02-08,3,1.1794375
2017-02-08,4,1.2075
2017-02-08,5,1.2513125
2017-02-08,6,1.3058125
2017-02-08,7,1.3845
2017-02-08,8,1.4665625
2017-02-08,9,1.5480625
2017-02-08,10,1.61025
2017-02-08,11,1.65125
2017-02-08,12,1.7380625
2017-02-08,13,1.826375
2017-02-08,14,1.866875
2017-02-08,15,1.88684375
2017-02-08,16,1.88628125
