"datetime","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9"
2018-07-02,71.40875,67.30875,63.20875,59.10875,56.1716666666667,53.2345833333333,50.2975
2018-07-03,71.1179166666667,67.5811111111111,64.0443055555556,60.5075,56.9766666666667,53.4458333333333,49.915
2018-07-04,71.42875,67.6915277777778,63.9543055555556,60.2170833333333,56.855,53.4929166666667,50.1308333333333
2018-07-05,72.6841666666667,68.3705555555556,64.0569444444444,59.7433333333333,56.6368055555556,53.5302777777778,50.42375
2018-07-06,72.40875,68.2343055555556,64.0598611111111,59.8854166666667,56.6594444444444,53.4334722222222,50.2075
2018-07-07,72.9558333333333,69.3890277777778,65.8222222222222,62.2554166666667,58.1886111111111,54.1218055555556,50.055
2018-07-08,72.9025,69.5205555555556,66.1386111111111,62.7566666666667,58.8723611111111,54.9880555555556,51.10375
2018-07-09,73.6883333333333,70.0231944444444,66.3580555555556,62.6929166666667,58.5945833333333,54.49625,50.3979166666667
2018-07-10,73.8291666666667,70.0409722222222,66.2527777777778,62.4645833333333,58.64875,54.8329166666667,51.0170833333333
2018-07-11,72.365,69.2784722222222,66.1919444444444,63.1054166666667,58.9920833333333,54.87875,50.7654166666667
2018-07-12,73.1304166666667,70.22125,67.3120833333333,64.4029166666667,60.0627777777778,55.7226388888889,51.3825
2018-07-13,73.43125,70.6280555555556,67.8248611111111,65.0216666666667,60.50875,55.9958333333333,51.4829166666667
2018-07-14,73.0533333333333,70.1997222222222,67.3461111111111,64.4925,60.1029166666667,55.7133333333333,51.32375
2018-07-15,74.2020833333333,71.0395833333333,67.8770833333333,64.7145833333333,60.2315277777778,55.7484722222222,51.2654166666667
2018-07-16,73.6191666666667,71.4109722222222,69.2027777777778,66.9945833333333,61.8488888888889,56.7031944444444,51.5575
2018-07-17,72.3508333333333,70.1022222222222,67.8536111111111,65.605,60.8823611111111,56.1597222222222,51.4370833333333
2018-07-18,72.9166666666667,70.3045833333333,67.6925,65.0804166666667,60.6304166666667,56.1804166666667,51.7304166666667
2018-07-19,72.4195833333333,70.21125,68.0029166666667,65.7945833333333,61.0654166666667,56.33625,51.6070833333333
2018-07-20,73.4016666666667,70.3111111111111,67.2205555555555,64.13,60.0622222222222,55.9944444444444,51.9266666666667
2018-07-21,73.46125,70.7018055555556,67.9423611111111,65.1829166666667,60.6426388888889,56.1023611111111,51.5620833333333
2018-07-22,73.5204166666667,70.4573611111111,67.3943055555555,64.33125,60.2305555555556,56.1298611111111,52.0291666666667
2018-07-23,74.6075,71.265,67.9225,64.58,60.3008333333333,56.0216666666667,51.7425
2018-07-24,74.9775,71.7491666666667,68.5208333333333,65.2925,60.7934722222222,56.2944444444445,51.7954166666667
2018-07-25,73.5070833333333,71.2054166666667,68.90375,66.6020833333333,61.6734722222222,56.7448611111111,51.81625
2018-07-26,72.0070833333333,70.9290277777778,69.8509722222222,68.7729166666667,63.1520833333333,57.53125,51.9104166666667
2018-07-27,70.90875,69.3381944444444,67.7676388888889,66.1970833333333,61.3840277777778,56.5709722222222,51.7579166666667
2018-07-28,71.3783333333333,69.2670833333333,67.1558333333333,65.0445833333333,60.60625,56.1679166666667,51.7295833333333
2018-07-29,71.7904166666667,69.3698611111111,66.9493055555556,64.52875,60.3029166666667,56.0770833333333,51.85125
2018-07-30,71.9983333333333,69.7852777777778,67.5722222222222,65.3591666666667,60.835,56.3108333333333,51.7866666666667
2018-07-31,72.4775,70.1486111111111,67.8197222222222,65.4908333333333,61.0411111111111,56.5913888888889,52.1416666666667
2018-08-01,71.5179166666667,69.6148611111111,67.7118055555556,65.80875,61.2283333333333,56.6479166666667,52.0675
2018-08-02,70.3158333333333,68.6670833333333,67.0183333333333,65.3695833333333,61.0720833333333,56.7745833333333,52.4770833333333
2018-08-03,70.13,68.3531944444444,66.5763888888889,64.7995833333333,60.60125,56.4029166666667,52.2045833333333
2018-08-04,69.87,68.6423611111111,67.4147222222222,66.1870833333333,61.4222222222222,56.6573611111111,51.8925
2018-08-05,70.5045833333333,69.4369444444444,68.3693055555556,67.3016666666667,62.3469444444444,57.3922222222222,52.4375
2018-08-06,70.7591666666667,69.1027777777778,67.4463888888889,65.79,61.3063888888889,56.8227777777778,52.3391666666667
2018-08-07,70.17,68.9920833333333,67.8141666666667,66.63625,61.8766666666667,57.1170833333333,52.3575
2018-08-08,70.9225,69.0994444444444,67.2763888888889,65.4533333333333,61.0740277777778,56.6947222222222,52.3154166666667
2018-08-09,70.4066666666667,69.1280555555555,67.8494444444444,66.5708333333333,61.7377777777778,56.9047222222222,52.0716666666667
2018-08-10,71.3695833333333,69.4181944444445,67.4668055555556,65.5154166666667,61.2001388888889,56.8848611111111,52.5695833333333
2018-08-11,70.22,69.0268055555556,67.8336111111111,66.6404166666667,61.7736111111111,56.9068055555556,52.04
2018-08-12,71.0675,69.30375,67.54,65.77625,61.5155555555556,57.2548611111111,52.9941666666667
2018-08-13,73.75875,71.3080555555556,68.8573611111111,66.4066666666667,61.6209722222222,56.8352777777778,52.0495833333333
2018-08-14,74.185,71.565,68.945,66.325,61.8083333333333,57.2916666666667,52.775
2018-08-15,73.57125,70.9308333333333,68.2904166666667,65.65,61.4269444444445,57.2038888888889,52.9808333333333
2018-08-16,73.3716666666667,70.9486111111111,68.5255555555556,66.1025,61.6451388888889,57.1877777777778,52.7304166666667
2018-08-17,73.0883333333333,70.8958333333333,68.7033333333333,66.5108333333333,62.0136111111111,57.5163888888889,53.0191666666667
