"","Date","Depth","Measurement"
"177",2017-01-25,16,1.80584375
"178",2017-01-25,17,1.832
"179",2017-01-25,18,1.886
"180",2017-01-25,19,1.923125
"181",2017-01-25,20,1.943375
"182",2017-01-25,21,1.929875
"183",2017-01-25,22,1.882625
"184",2017-01-25,23,1.93975
"185",2017-01-25,24,2.10125
"186",2017-01-25,25,2.21128125
"187",2017-01-25,26,2.26984375
"188",2017-01-25,27,2.38584375
"189",2017-01-25,28,2.55928125
"190",2017-01-26,2,0.951375
"191",2017-01-26,3,1.106875
"192",2017-01-26,4,1.1310625
"193",2017-01-26,5,1.171625
"194",2017-01-26,6,1.2233125
"195",2017-01-26,7,1.3024375
"196",2017-01-26,8,1.383375
"197",2017-01-26,9,1.453625
"198",2017-01-26,10,1.4951875
"199",2017-01-26,11,1.53175
"200",2017-01-26,12,1.629
"201",2017-01-26,13,1.72821875
"202",2017-01-26,14,1.77940625
"203",2017-01-26,15,1.8095
"204",2017-01-26,16,1.8185
"205",2017-01-26,17,1.84578125
"206",2017-01-26,18,1.89134375
"207",2017-01-26,19,1.927625
"208",2017-01-26,20,1.954625
"209",2017-01-26,21,1.9445
"210",2017-01-26,22,1.89725
"211",2017-01-26,23,1.9549375
"212",2017-01-26,24,2.1175625
"213",2017-01-26,25,2.22815625
"214",2017-01-26,26,2.28671875
"215",2017-01-26,27,2.401875
"216",2017-01-26,28,2.573625
"217",2017-01-27,2,0.962666666666667
"218",2017-01-27,3,1.1215
"219",2017-01-27,4,1.1479375
"220",2017-01-27,5,1.18702083333333
"221",2017-01-27,6,1.23139583333333
"222",2017-01-27,7,1.3058125
"223",2017-01-27,8,1.38510416666667
"224",2017-01-27,9,1.46210416666667
"225",2017-01-27,10,1.5120625
"226",2017-01-27,11,1.544125
"227",2017-01-27,12,1.636875
"228",2017-01-27,13,1.73553125
"229",2017-01-27,14,1.78334375
"230",2017-01-27,15,1.81146875
"231",2017-01-27,16,1.81990625
"232",2017-01-27,17,1.8494375
"233",2017-01-27,18,1.9000625
"234",2017-01-27,19,1.9405625
"235",2017-01-27,20,1.9709375
"236",2017-01-27,21,1.95884375
"237",2017-01-27,22,1.90428125
"238",2017-01-27,23,1.9594375
"239",2017-01-27,24,2.1243125
"240",2017-01-27,25,2.2340625
"241",2017-01-27,26,2.2886875
"242",2017-01-27,27,2.40408333333333
"243",2017-01-27,28,2.58025
"244",2017-01-28,2,0.963291666666667
"245",2017-01-28,3,1.126
"246",2017-01-28,4,1.153
"247",2017-01-28,5,1.19283333333333
"248",2017-01-28,6,1.24564583333333
"249",2017-01-28,7,1.3148125
"250",2017-01-28,8,1.38683333333333
"251",2017-01-28,9,1.46664583333333
"252",2017-01-28,10,1.5188125
"253",2017-01-28,11,1.54975
"254",2017-01-28,12,1.643625
"255",2017-01-28,13,1.74734375
"256",2017-01-28,14,1.79853125
"257",2017-01-28,15,1.82496875
"258",2017-01-28,16,1.82665625
"259",2017-01-28,17,1.8550625
"260",2017-01-28,18,1.9101875
"261",2017-01-28,19,1.95153125
"262",2017-01-28,20,1.97909375
"263",2017-01-28,21,1.9664375
"264",2017-01-28,22,1.9135625
"265",2017-01-28,23,1.96815625
"266",2017-01-28,24,2.13021875
"267",2017-01-28,25,2.23771875
"268",2017-01-28,26,2.29065625
"269",2017-01-28,27,2.40898958333333
"270",2017-01-28,28,2.59271875
"271",2017-01-29,2,0.965
"272",2017-01-29,3,1.126
"273",2017-01-29,4,1.153
"274",2017-01-29,5,1.19341666666667
"275",2017-01-29,6,1.24566666666667
"276",2017-01-29,7,1.3148125
"277",2017-01-29,8,1.39789583333333
"278",2017-01-29,9,1.48052083333333
"279",2017-01-29,10,1.534
"280",2017-01-29,11,1.57
"281",2017-01-29,12,1.65375
"282",2017-01-29,13,1.75184375
"283",2017-01-29,14,1.80528125
"284",2017-01-29,15,1.832
"285",2017-01-29,16,1.832
"286",2017-01-29,17,1.85871875
